Category,Gatsby,Jamstack,Cms,Description
Performance,3,3,2,"Builds a site that is fast with small response time, completely accessible and responsive to user input."
Developer Experience,3,3,2,"Delivering robust functionality that is stable, speedy, and visually intuitive to developers"
Governance,3,2,3,"Provides monitor, measure, management and security to your site"
Accessibility,2,2,3,Enables access to site content and functionality to literally anyone
Documentation,3,3,3,Detailed technical guides with tutorials and examples.
Ecosystem,3,2,2,Resources that facilitate development as they integrate with each other
